var,mae,bias,pbias
Deforestation,1.422680412371134,-0.26804123711340205,-0.013404756626332098
Agriculture Establishment,4.24468085106383,0.9680851063829787,0.048170831767340175
Transition Length,5.161290322580645,1.2043010752688172,11.54639175257732
